rollout/ep_rew_mean,train/clip_range,time/fps,time/time_elapsed,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,time/total_timesteps,time/iterations,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/loss,train/value_loss,rollout/ep_len_mean
-9.64,0.2,733,960,0.0003,-0.014533331804341288,0.141796875,704512,172,-0.8886456512846053,0.01935688,1710,0.9782020319253206,-0.026117954403162003,0.011991963621039759,887.96
-9.73,0.2,734,981,0.0003,-0.015173177832184592,0.166357421875,720896,176,-0.9935564003884793,0.028686613,1750,0.9726413618773222,-0.014147709123790264,0.010532679076186468,894.32
-9.73,0.2,734,1003,0.0003,-0.014975689536731807,0.142724609375,737280,180,-0.9898442335426807,0.027913751,1790,0.980606883764267,-0.023473605513572693,0.009281105376521737,912.24
-9.73,0.2,734,1025,0.0003,-0.017306881005060858,0.14482421875,753664,184,-0.9916237910278142,0.014006847,1830,0.9338629841804504,-0.02565261907875538,0.03299366358387488,903.36
-10.0,0.2,734,1047,0.0003,-0.014126622192634386,0.1473388671875,770048,188,-0.8363772317767143,0.01755621,1870,0.9753551091998816,-0.024996211752295494,0.014421129207221384,900.04
-10.0,0.2,735,1069,0.0003,-0.021315949013660428,0.16748046875,786432,192,-0.871257747337222,0.023627948,1910,0.9706419631838799,0.0009350297041237354,0.015109206077431736,895.8
-9.91,0.2,735,1091,0.0003,-0.016576921217347263,0.14384765625,802816,196,-0.9701020594686269,0.017150994,1950,0.9570696651935577,-0.03958824649453163,0.016455816602501727,891.56
-9.91,0.2,735,1113,0.0003,-0.019814098437927898,0.176123046875,819200,200,-0.9410297144204378,0.021857187,1990,0.9751265589147806,-0.024467261508107185,0.01103990361561955,873.32
-9.91,0.2,734,1138,0.0003,-0.017017261265209527,0.1264892578125,835584,204,-1.0648879481479525,0.014624089,2030,0.9624943062663078,-0.030255943536758423,0.0105876892032029,872.92
-9.82,0.2,734,1160,0.0003,-0.017358034179051175,0.1371337890625,851968,208,-0.9913399643264711,0.017071813,2070,0.9799847844988108,-0.026927446946501732,0.01012409660152116,885.44
-9.82,0.2,734,1181,0.0003,-0.015400960179977118,0.1441650390625,868352,212,-0.9985032952390611,0.01778626,2110,0.9859052198007703,-0.04264480993151665,0.007966396241863549,902.52
-9.82,0.2,734,1203,0.0003,-0.021461341517715483,0.1589111328125,884736,216,-0.9688357728533447,0.01819038,2150,0.9856439558789134,-0.017763804644346237,0.004296813877226668,914.04
-9.82,0.2,735,1225,0.0003,-0.01677714707057021,0.1405517578125,901120,220,-0.9962985564023257,0.018477459,2190,0.9839299712330103,-0.03800808638334274,0.0056832577449768,925.44
-9.82,0.2,735,1247,0.0003,-0.013594856786221498,0.1306884765625,917504,224,-0.9632261202670633,0.018153202,2230,0.9836912211030722,-0.027387265115976334,0.005590717038921866,930.68
-9.91,0.2,735,1269,0.0003,-0.015259596857140423,0.14404296875,933888,228,-0.9755096435546875,0.020392995,2270,0.9785267692059278,0.005114024970680475,0.013825500230177567,930.32
